id,Easting,Northing,Longitude,Latitude
1019,708256.500,9323996.500,106.882,-6.112
1020,708257.000,9323996.500,106.882,-6.112
1021,708257.500,9323996.500,106.882,-6.112
1022,708258.000,9323996.500,106.882,-6.112
1023,708258.500,9323996.500,106.882,-6.112
1024,708259.000,9323996.500,106.882,-6.112
1025,708259.500,9323996.500,106.882,-6.112
1026,708260.000,9323996.500,106.882,-6.112
1027,708260.500,9323996.500,106.882,-6.112
1028,708261.000,9323996.500,106.882,-6.112
1029,708261.500,9323996.500,106.882,-6.112
1033,708242.000,9323996.000,106.882,-6.112
1034,708242.500,9323996.000,106.882,-6.112
1035,708243.000,9323996.000,106.882,-6.112
1036,708243.500,9323996.000,106.882,-6.112
1037,708244.000,9323996.000,106.882,-6.112
1038,708244.500,9323996.000,106.882,-6.112
1039,708245.000,9323996.000,106.882,-6.112
1040,708245.500,9323996.000,106.882,-6.112
1041,708246.000,9323996.000,106.882,-6.112
1042,708246.500,9323996.000,106.882,-6.112
1043,708247.000,9323996.000,106.882,-6.112
1044,708247.500,9323996.000,106.882,-6.112
1045,708248.000,9323996.000,106.882,-6.112
1046,708248.500,9323996.000,106.882,-6.112
1047,708249.000,9323996.000,106.882,-6.112
1048,708249.500,9323996.000,106.882,-6.112
1049,708250.000,9323996.000,106.882,-6.112
1050,708250.500,9323996.000,106.882,-6.112
1051,708251.000,9323996.000,106.882,-6.112
1052,708251.500,9323996.000,106.882,-6.112
1053,708252.000,9323996.000,106.882,-6.112
1054,708252.500,9323996.000,106.882,-6.112
1055,708253.000,9323996.000,106.882,-6.112
1056,708253.500,9323996.000,106.882,-6.112
1057,708254.000,9323996.000,106.882,-6.112
1058,708254.500,9323996.000,106.882,-6.112
1059,708255.000,9323996.000,106.882,-6.112
1060,708255.500,9323996.000,106.882,-6.112
1061,708256.000,9323996.000,106.882,-6.112
1062,708256.500,9323996.000,106.882,-6.112
1063,708257.000,9323996.000,106.882,-6.112
1064,708257.500,9323996.000,106.882,-6.112
1065,708258.000,9323996.000,106.882,-6.112
1066,708258.500,9323996.000,106.882,-6.112
1067,708259.000,9323996.000,106.882,-6.112
1068,708259.500,9323996.000,106.882,-6.112
1069,708260.000,9323996.000,106.882,-6.112
1070,708260.500,9323996.000,106.882,-6.112
1071,708261.000,9323996.000,106.882,-6.112
1072,708261.500,9323996.000,106.882,-6.112
1073,708262.000,9323996.000,106.882,-6.112
1077,708242.500,9323995.500,106.882,-6.112
1078,708243.000,9323995.500,106.882,-6.112
1079,708243.500,9323995.500,106.882,-6.112
1080,708244.000,9323995.500,106.882,-6.112
1081,708244.500,9323995.500,106.882,-6.112
1082,708245.000,9323995.500,106.882,-6.112
1083,708245.500,9323995.500,106.882,-6.112
1084,708246.000,9323995.500,106.882,-6.112
1085,708246.500,9323995.500,106.882,-6.112
1086,708247.000,9323995.500,106.882,-6.112
1087,708247.500,9323995.500,106.882,-6.112
1088,708248.000,9323995.500,106.882,-6.112
1089,708248.500,9323995.500,106.882,-6.112
1090,708249.000,9323995.500,106.882,-6.112
1091,708249.500,9323995.500,106.882,-6.112
1092,708250.000,9323995.500,106.882,-6.112
1093,708250.500,9323995.500,106.882,-6.112
1094,708251.000,9323995.500,106.882,-6.112
1095,708251.500,9323995.500,106.882,-6.112
1096,708252.000,9323995.500,106.882,-6.112
1097,708252.500,9323995.500,106.882,-6.112
1098,708253.000,9323995.500,106.882,-6.112
1099,708253.500,9323995.500,106.882,-6.112
1100,708254.000,9323995.500,106.882,-6.112
1101,708254.500,9323995.500,106.882,-6.112
1102,708255.000,9323995.500,106.882,-6.112
1103,708255.500,9323995.500,106.882,-6.112
1104,708256.000,9323995.500,106.882,-6.112
1105,708256.500,9323995.500,106.882,-6.112
1106,708257.000,9323995.500,106.882,-6.112
1107,708257.500,9323995.500,106.882,-6.112
1108,708258.000,9323995.500,106.882,-6.112
1109,708258.500,9323995.500,106.882,-6.112
1110,708259.000,9323995.500,106.882,-6.112
1111,708259.500,9323995.500,106.882,-6.112
1112,708260.000,9323995.500,106.882,-6.112
1113,708260.500,9323995.500,106.882,-6.112
1114,708261.000,9323995.500,106.882,-6.112
1115,708261.500,9323995.500,106.882,-6.112
1116,708262.000,9323995.500,106.882,-6.112
1121,708243.000,9323995.000,106.882,-6.113
